,Date,Tweet,Tweet_Likes
0,Wed Oct 16 03:13:44 +0000 2024,Curry faked out LeBron and then threw it down hard with 2 hands 😮‍💨 https://t.co/knllyTA1On,9425
1,Wed Oct 16 17:34:58 +0000 2024,LeBron deleted this tweet.. 😳 https://t.co/iquIO31Vn4,91
2,Wed Oct 09 22:28:21 +0000 2024,"**LeBron James grilling his team on the bench during a timeout**

Bronny James: https://t.co/aaLZMgey3J",80295
3,Sat Oct 12 19:23:02 +0000 2024,What’s missing 😭 https://t.co/4qI52D8uFC,14829
4,Wed Oct 16 00:09:55 +0000 2024,"Telling my kids about 39 yo LeBron’s defensive masterclass against Serbia in the Olympics 🐐
 https://t.co/lmCtFGXiGF",6253
